Product,Number of Occurrences
FTA,4
Acrobat and Reader,11
ColdFusion,11
Flash Player,29
Cameras and Network Video Recorder (NVR),1
Android Kernel,2
Multiple Chipsets,3
Struts,5
HTTP Server,3
Shiro,1
Solr,2
"iOS, iPadOS, and macOS",9
iOS and macOS,4
Multiple Products,46
"iOS, iPadOS, and watchOS",4
iOS,8
macOS,5
Buffalo Firmware,1
Trusted Firmware,1
Mali Graphics Processing Unit (GPU),6
Confluence Server and Data Center,2
Crowd and Crowd Data Center,1
Confluence Server and Data Server,1
BillQuick Web Suite,1
Adaptive Security Appliance (ASA) and Firepower Threat Defense (FTD),2
HyperFlex HX,2
IOS and IOS XE,2
IOS XR,6
Cisco IP Phones,1
Small Business RV320 and RV325 Routers,1
Adaptive Security Appliance (ASA),3
StoreFront Server,1
"Application Delivery Controller (ADC), Gateway, and SD-WAN WANOP Appliance",4
Workspace Application and Receiver for Windows,1
DIR-825 R1 Devices,1
DNS-320 Device,1
DotNetNuke (DNN),3
Desktop Community Edition,1
Multiple Vigor Routers,1
Drupal Core,1
Community and Enterprise Editions,1
Exim,3
EyesOfNetwork,2
BIG-IP,2
BIG-IP and BIG-IQ Centralized Management,1
Access Management (AM),1
FortiOS,6
Chrome,10
Chromium,11
Chromium V8 Engine,25
Data Risk Manager,3
Planning Analytics,1
ImageMagick,2
MobileIron Multiple Products,1
Virtual System/Server Administrator (VSA),3
Liferay Portal,1
McAfee Total Protection (MTP),1
Micro Focus Access Manager,1
Operation Bridge Reporter (OBR),1
Windows,103
Open Management Infrastructure (OMI),4
Win32k,25
Edge and Internet Explorer,2
Defender,2
Desktop Window Manager (DWM) Core Library,1
Enhanced Cryptographic Provider,2
Exchange Server,14
Internet Information Services (IIS),1
Remote Desktop Services,1
Hyper-V RemoteFX,1
Internet Explorer,31
MSHTML,2
.NET Framework,2
Office,24
MSCOMCTL.OCX,1
Office and WordPad,1
Netlogon,1
SharePoint,1
".NET Framework, SharePoint, Visual Studio",1
Firefox and Thunderbird,6
Nagios XI,4
JGS516PE Devices,1
WF2419 Devices,1
Fusion Middleware,4
Solaris and Zettabyte File System (ZFS),1
WebLogic Server,8
PlaySMS,1
Telerik UI for ASP.NET AJAX,1
Pulse Connect Secure,8
Pulse Connect Secure and Pulse Policy Secure,1
rConfig,1
AP-Router SDK,1
Roundcube Webmail,4
Salt,3
Customer Relationship Management (CRM),1
NetWeaver,7
Solution Manager,1
Toolbox Browser,1
Orion,1
Serv-U,2
Virtualization Manager,1
Nexus Repository,1
SonicWall Email Security,3
SMA100,2
SSLVPN SMA100,1
SFOS,1
Enhanced Multimedia Router (EMR),1
Symantec Messaging Gateway,1
Desktop,1
ASP.NET AJAX and Sitefinity,1
AC11 Router,1
AC1900 Router AC15 Model,1
"AC7, AC9, and AC10 Routers",1
noneCms,1
ThinkPHP,1
OfficeScan,1
Apex One and OfficeScan,2
"Apex One, OfficeScan and Worry-Free Business Security Agents",1
"Apex One, OfficeScan, and Worry-Free Business Security",1
"Apex One, Apex One as a Service, and Worry-Free Business Security",2
NVMS-1000,1
Unraid,2
vBulletin,2
